"longitude","latitude","site","LT_data","extra","outlier","climate","rings","MAT","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","MAP","bio13","bio14","bio15","bio16","bio17","bio18","bio19","elev","Mgmt_zone","Name","US_L3CODE","US_L3NAME","NA_L3CODE","NA_L3NAME","NA_L2CODE","NA_L2NAME","NA_L1CODE","NA_L1NAME","VEGTYP_LAB","PNV_GROUPS","longitude","latitude","FID","site","RASTERVALU","Value","Count","MUKEY","Data_Source","areasymbol","areaname","musym","muname","SumOfcomppct_r","temp_regime","moisture_subclass","moisture_regime","temp_moist_regime","moist_regime_subclass","temp_moist_regime_subclass","common_name","RR_class","RR_class_name"
-109.7710188,40.30408122,11,0,1,0,"warm.Psummer","mid",77,171,35,10395,324,-157,481,152,-36,205,-67,189,23,10,24,61,34,50,34,1585,"MZ II","Wyoming Basins Management Zone","20","Colorado Plateaus","10.1.6","Colorado Plateaus","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS",NA,"28: Desert shrub",-120.1994188,44.59573122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-107.8106188,43.87578122,12,1,0,0,"warm.Psummer","mid",72,170,35,10185,321,-161,482,125,-62,204,-62,240,43,8,50,108,28,68,28,1375,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS",NA,"25: Sagebrush",-119.9442188,39.77113122,654,655,"127,658",127658,69346,474303,"gSSURGO","NV628","Washoe County, Nevada, South Part","490","Graufels bouldery sand, 8 to 15 percent slopes",85,"Mesic","Xeric","Aridic","Mesic-Aridic","Aridic bordering on Xeric","Mesic/Aridic bordering on Xeric","Warm/dry bordering on moist",3,"Low"
-108.7734188,40.04228122,13,0,1,0,"warm.Psummer","mid",79,180,36,10266,329,-159,488,154,-60,209,-60,273,31,13,24,84,44,71,44,1645,"MZ VII","Colorado Plateau Management Zone","20","Colorado Plateaus","10.1.6","Colorado Plateaus","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.9326188,39.32233122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-109.4346188,41.89358122,14,0,1,0,"warm.Psummer","mid",36,173,37,9822,281,-182,463,87,-93,162,-93,209,31,10,35,76,31,63,31,2048,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.9210188,39.39713122,715,716,"127,567",127567,233995,474210,"gSSURGO","NV628","Washoe County, Nevada, South Part","1460","Jorge-Boomtown-Fugawee association",85,"Frigid","Typic","Xeric","Frigid-Xeric","Xeric-Typic","Frigid/Xeric-Typic","Cool/moist",1,"High"
-109.2606188,42.17408122,15,0,1,0,"cold.Psummer","mid",32,173,37,9877,277,-189,466,83,-99,158,-99,228,34,11,32,82,37,65,37,2072,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.9210188,41.27648122,642,643,"151,387",151387,473547,1034709,"gSSURGO","CA685","Surprise Valley-Home Camp Area, California and Nevada","440","Hutchley-Ninemile-Nutzan association",50,"Frigid","Aridic","Xeric","Frigid-Xeric","Xeric bordering on Aridic","Frigid/Xeric bordering on Aridic","Cool/moist bordering on dry",2,"Moderate"
-109.2954188,42.00578122,16,1,0,0,"cold.Psummer","mid",34,171,37,9828,278,-183,461,85,-95,160,-95,219,32,11,32,78,35,64,35,2100,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.9094188,45.25958122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-109.2606188,41.99643122,17,1,0,0,"cold.Psummer","mid",34,169,37,9704,276,-179,455,84,-93,158,-93,225,33,11,32,80,37,65,37,2088,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.8978188,39.06053122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-109.2490188,41.99643122,18,1,0,0,"cold.Psummer","mid",36,169,36,9778,279,-178,457,87,-92,162,-92,218,32,11,32,78,35,63,35,2072,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.8978188,39.19143122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-109.3070188,41.98708122,19,1,0,0,"cold.Psummer","mid",33,170,37,9784,276,-182,458,83,-95,158,-95,222,32,11,32,79,36,66,36,2122,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.8978188,39.36908122,709,710,"127,727",127727,189072,474372,"gSSURGO","NV628","Washoe County, Nevada, South Part","756","Toiyabe-Corbett-Haypress association",85,"Frigid","Typic","Xeric","Frigid-Xeric","Xeric-Typic","Frigid/Xeric-Typic","Cool/moist",1,"High"
-109.2954188,41.98708122,20,1,0,0,"cold.Psummer","mid",34,170,37,9762,276,-181,457,84,-95,158,-95,220,32,11,31,78,36,64,36,2121,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.8862188,39.08858122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-109.2490188,41.98708122,21,1,0,0,"cold.Psummer","mid",36,169,36,9802,279,-178,457,87,-93,162,-93,218,32,11,32,78,35,63,35,2074,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.8862188,39.15403122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-109.2954188,41.97773122,22,1,0,0,"cold.Psummer","mid",33,168,36,9730,275,-180,455,83,-94,158,-94,226,32,11,31,79,37,66,37,2133,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.8630188,39.16338122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-109.2838188,41.97773122,23,1,0,0,"cold.Psummer","mid",33,169,37,9771,276,-179,455,84,-95,159,-95,223,32,11,32,79,37,66,37,2132,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.8514188,38.95768122,693,694,"36,483",36483,129491,644199,"gSSURGO","NV773","Douglas County Area, Nevada","941","Toiyabe-Rock outcrop complex, 30 to 50 percent slopes",75,"Frigid","Typic","Xeric","Frigid-Xeric","Xeric-Typic","Frigid/Xeric-Typic","Cool/moist",1,"High"
-109.2490188,41.96838122,24,1,0,0,"cold.Psummer","mid",37,168,36,9746,279,-176,455,87,-91,162,-91,218,32,11,32,78,35,63,35,2084,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.8514188,39.36908122,682,683,"127,490",127490,23464,474132,"gSSURGO","NV628","Washoe County, Nevada, South Part","1120","Apmat very stony coarse sand, 2 to 8 percent slopes",85,"Frigid","Typic","Xeric","Frigid-Xeric","Xeric-Typic","Frigid/Xeric-Typic","Cool/moist",1,"High"
-109.2374188,41.96838122,25,1,0,0,"cold.Psummer","mid",38,168,36,9755,280,-175,455,88,-90,163,-90,218,32,11,32,78,35,63,35,2073,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.8166188,38.88288122,668,669,"36,792",36792,18757,644631,"gSSURGO","NV773","Douglas County Area, Nevada","6520","Scossa peat, 2 to 4 percent slopes",85,"Mesic","Typic","Aquic","Mesic-Aquic","Aquic-Typic","Mesic/Aquic-Typic","Wetland/riparian ",0,"0"
-109.9334188,42.64158122,26,1,0,0,"cold.Psummer","mid",19,186,39,9647,267,-205,472,118,-108,142,-108,246,35,12,33,88,40,76,40,2122,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.7818188,39.10728122,651,652,"36,452",36452,85980,644143,"gSSURGO","NV773","Douglas County Area, Nevada","712","Prey gravelly loamy sand, 0 to 4 percent slopes",90,"Mesic","Xeric","Aridic","Mesic-Aridic","Aridic bordering on Xeric","Mesic/Aridic bordering on Xeric","Warm/dry bordering on moist",3,"Low"
-109.7478188,42.50133122,27,1,0,0,"cold.Psummer","mid",18,180,38,9584,262,-201,463,116,-107,141,-107,244,35,12,32,87,40,75,40,2194,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.7818188,44.25913122,605,606,"2,250",2250,4121009,667060,"STATSGO2","US","United States","s6514","Westbutte-Snell-Laycock-Klicker-Ateron (s6514)",100,"Frigid","Typic","Xeric","Frigid-Xeric","Xeric-Typic","Frigid/Xeric-Typic","Cool/moist",1,"High"
-109.7362188,42.50133122,28,1,0,0,"cold.Psummer","mid",18,179,38,9583,262,-201,463,116,-108,141,-108,245,35,12,32,87,40,75,40,2194,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.7470188,43.47373122,522,523,"138,050",138050,1104387,490893,"gSSURGO","OR628","Harney County Area, Oregon","55","Carryback cobbly clay loam, 5 to 20 percent slopes",85,"Frigid","Xeric","Aridic","Frigid-Aridic","Aridic bordering on Xeric","Frigid/Aridic bordering on Xeric","Cool/dry bordering on moist",2,"Moderate"
-109.7246188,42.50133122,29,1,0,0,"cold.Psummer","mid",17,178,38,9557,260,-201,461,114,-108,140,-108,248,35,12,33,89,40,77,40,2194,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.7470188,43.48308122,520,521,"137,761",137761,162964,490496,"gSSURGO","OR628","Harney County Area, Oregon","130","Gochea sandy loam, 0 to 2 percent slopes",85,"Frigid","Xeric","Aridic","Frigid-Aridic","Aridic bordering on Xeric","Frigid/Aridic bordering on Xeric","Cool/dry bordering on moist",2,"Moderate"
-109.7014188,42.50133122,30,1,0,0,"cold.Psummer","mid",18,179,38,9578,262,-200,462,116,-107,141,-107,247,35,12,32,88,40,76,40,2195,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.7122188,43.53918122,429,430,"137,921",137921,1504214,490685,"gSSURGO","OR628","Harney County Area, Oregon","275","Reallis fine sandy loam, 0 to 3 percent slopes",85,"Frigid","Xeric","Aridic","Frigid-Aridic","Aridic bordering on Xeric","Frigid/Aridic bordering on Xeric","Cool/dry bordering on moist",2,"Moderate"
-109.6898188,42.50133122,31,1,0,0,"cold.Psummer","mid",19,179,38,9597,262,-200,462,116,-107,142,-107,246,35,12,32,88,40,76,40,2195,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.7006188,38.80808122,681,682,"243,109",243109,172282,1697792,"gSSURGO","NV773","Douglas County Area, Nevada","270","Duco-Smallcone-Cagle association",85,"Mesic","Xeric","Aridic","Mesic-Aridic","Aridic bordering on Xeric","Mesic/Aridic bordering on Xeric","Warm/dry bordering on moist",3,"Low"
-109.6666188,42.50133122,32,1,0,0,"cold.Psummer","mid",18,177,38,9555,261,-199,460,115,-107,141,-107,249,36,12,33,89,40,76,40,2222,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.6890188,39.28493122,671,672,"127,806",127806,52974,474451,"gSSURGO","NV628","Washoe County, Nevada, South Part","983","Koontz-Nosrac association",85,"Mesic","Xeric","Aridic","Mesic-Aridic","Aridic bordering on Xeric","Mesic/Aridic bordering on Xeric","Warm/dry bordering on moist",3,"Low"
-109.7478188,42.49198122,33,1,0,0,"cold.Psummer","mid",18,180,38,9609,263,-202,465,116,-108,141,-108,242,35,12,32,87,40,75,40,2194,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.6890188,43.48308122,521,522,"137,726",137726,8431099,490458,"gSSURGO","OR628","Harney County Area, Oregon","1","Actem cobbly loam, 2 to 20 percent slopes",85,"Frigid","Xeric","Aridic","Frigid-Aridic","Aridic bordering on Xeric","Frigid/Aridic bordering on Xeric","Cool/dry bordering on moist",2,"Moderate"
-109.7014188,42.49198122,34,1,0,0,"cold.Psummer","mid",19,179,38,9577,262,-201,463,116,-107,141,-107,245,35,12,32,87,40,75,40,2194,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.6774188,38.83613122,669,670,"36,734",36734,194868,644571,"gSSURGO","NV773","Douglas County Area, Nevada","6897","Pung-Leviathan association",85,"Mesic","Xeric","Aridic","Mesic-Aridic","Aridic bordering on Xeric","Mesic/Aridic bordering on Xeric","Warm/dry bordering on moist",3,"Low"
-109.6666188,42.49198122,35,1,0,0,"cold.Psummer","mid",19,178,38,9543,261,-199,460,116,-106,141,-106,246,35,12,32,88,40,75,40,2217,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.6774188,47.61578122,517,518,"1,353",1353,729500,675831,"STATSGO2","US","United States","s8451","Zen-Ralls-Lickskillet (s8451)",100,"Mesic","Xeric","Aridic","Mesic-Aridic","Aridic bordering on Xeric","Mesic/Aridic bordering on Xeric","Warm/dry bordering on moist",3,"Low"
-109.7246188,42.48263122,36,1,0,0,"cold.Psummer","mid",19,180,38,9623,263,-202,465,117,-107,142,-107,239,35,12,35,87,38,74,38,2194,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.6542188,39.86463122,583,584,"127,525",127525,58650,474168,"gSSURGO","NV628","Washoe County, Nevada, South Part","1301","Rose Creek variant, loamy fine sand",85,"Mesic","Xeric","Aridic","Mesic-Aridic","Aridic bordering on Xeric","Mesic/Aridic bordering on Xeric","Warm/dry bordering on moist",3,"Low"
-109.6782188,42.48263122,37,1,0,0,"cold.Psummer","mid",19,178,38,9568,262,-200,462,116,-107,141,-107,244,35,12,31,87,40,74,40,2194,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.6194188,37.67673122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-109.6666188,42.48263122,38,1,0,0,"cold.Psummer","mid",18,178,38,9551,261,-200,461,115,-107,141,-107,247,35,12,32,88,40,76,40,2207,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.6078188,38.78003122,670,671,"36,729",36729,298941,644567,"gSSURGO","NV773","Douglas County Area, Nevada","6893","Duco-Pinenut-Burnborough association",45,"Frigid","Xeric","Aridic","Frigid-Aridic","Aridic bordering on Xeric","Frigid/Aridic bordering on Xeric","Cool/dry bordering on moist",2,"Moderate"
-109.7478188,42.47328122,39,1,0,0,"cold.Psummer","mid",19,181,38,9685,265,-203,468,118,-108,143,-108,237,34,11,34,86,37,74,37,2190,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.5846188,38.90158122,637,638,"36,688",36688,86090,644523,"gSSURGO","NV773","Douglas County Area, Nevada","6607","Reno-Phing-Springmeyer association",85,"Mesic","Xeric","Aridic","Mesic-Aridic","Aridic bordering on Xeric","Mesic/Aridic bordering on Xeric","Warm/dry bordering on moist",3,"Low"
-109.7362188,42.47328122,40,1,0,0,"cold.Psummer","mid",19,180,38,9668,264,-203,467,117,-108,143,-108,238,35,11,35,87,37,74,37,2193,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.5614188,38.81743122,684,685,"36,730",36730,776876,644568,"gSSURGO","NV773","Douglas County Area, Nevada","6894","Duco-Vetagrande-Pinenut association",45,"Frigid","Xeric","Aridic","Frigid-Aridic","Aridic bordering on Xeric","Frigid/Aridic bordering on Xeric","Cool/dry bordering on moist",2,"Moderate"
-109.7014188,42.47328122,41,1,0,0,"cold.Psummer","mid",19,180,38,9627,264,-202,466,117,-107,142,-107,238,35,11,35,87,37,74,37,2186,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.5266188,37.88243122,724,725,"123,101",123101,1181494,466344,"gSSURGO","CA790","Yosemite National Park, California","219","Rock outcrop-Rubble land-Canisrocks association, 0 to 80 percent slopes, cirqued mountainflanks, cryic",15,"Cryic","Typic","Xeric","Cryic-Xeric","Xeric-Typic","Cryic/Xeric-Typic","Cold/moist",1,"High"
-109.6898188,42.47328122,42,1,0,0,"cold.Psummer","mid",19,179,38,9648,264,-201,465,118,-107,143,-107,240,35,12,33,87,38,74,38,2194,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.4918188,38.78938122,697,698,"36,437",36437,83855,644107,"gSSURGO","NV773","Douglas County Area, Nevada","541","Softscrabble-Glean-Genoa association",60,"Frigid","Aridic","Xeric","Frigid-Xeric","Xeric bordering on Aridic","Frigid/Xeric bordering on Aridic","Cool/moist bordering on dry",2,"Moderate"
-109.6666188,42.47328122,43,1,1,0,"cold.Psummer","mid",18,177,38,9559,260,-199,459,115,-107,141,-107,247,35,12,32,88,40,76,40,2202,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-119.4918188,38.90158122,685,686,"36,715",36715,45457,644551,"gSSURGO","NV773","Douglas County Area, Nevada","6877","Delmo-Dooh association",90,"Frigid","Xeric","Aridic","Frigid-Aridic","Aridic bordering on Xeric","Frigid/Aridic bordering on Xeric","Cool/dry bordering on moist",2,"Moderate"
